iter	Passed	Remaining
0	50	44703
1	98	43566
2	139	41057
3	178	39464
4	217	38503
5	258	38054
6	298	37614
7	342	37755
8	382	37442
9	422	37122
10	466	37209
11	506	37043
12	556	37499
13	598	37437
14	647	37739
15	691	37710
16	729	37440
17	768	37205
18	808	37031
19	848	36873
20	886	36627
21	919	36220
22	957	36053
23	998	36005
24	1041	36006
25	1089	36151
26	1126	35965
27	1165	35844
28	1206	35784
29	1252	35864
30	1295	35842
31	1338	35848
32	1382	35852
33	1421	35741
34	1461	35670
35	1508	35746
36	1551	35724
37	1592	35666
38	1632	35587
39	1672	35488
40	1710	35376
41	1749	35274
42	1788	35194
43	1830	35148
44	1875	35175
45	1917	35134
46	1958	35083
47	1993	34926
48	2031	34830
49	2073	34789
50	2112	34708
51	2151	34634
52	2196	34642
53	2237	34600
54	2276	34513
55	2317	34473
56	2356	34400
57	2396	34329
58	2436	34269
59	2475	34196
60	2516	34154
61	2555	34082
62	2595	34028
63	2638	34005
64	2681	33996
65	2721	33941
66	2762	33894
67	2801	33822
68	2839	33749
69	2878	33676
70	2917	33615
71	2956	33543
72	2994	33469
73	3034	33416
74	3074	33372
75	3126	33440
76	3172	33451
77	3213	33407
78	3255	33380
79	3295	33326
80	3334	33265
81	3373	33198
82	3412	33135
83	3452	33088
84	3501	33121
85	3540	33057
86	3579	33001
87	3621	32967
88	3665	32949
89	3708	32924
90	3758	32955
91	3796	32893
92	3834	32820
93	3874	32767
94	3912	32696
95	3950	32632
96	3990	32580
97	4030	32529
98	4068	32466
99	4106	32401
100	4149	32374
101	4192	32348
102	4234	32309
103	4276	32280
104	4318	32242
105	4358	32192
106	4395	32122
107	4434	32066
108	4473	32009
109	4510	31942
110	4548	31881
111	4586	31819
112	4624	31758
113	4664	31710
114	4704	31664
115	4745	31624
116	4788	31593
117	4829	31555
118	4869	31509
119	4915	31501
120	4952	31436
121	4993	31392
122	5030	31329
123	5068	31270
124	5108	31222
125	5163	31270
126	5211	31270
127	5251	31220
128	5289	31164
129	5327	31105
130	5367	31058
131	5407	31009
132	5448	30973
133	5497	30973
134	5537	30930
135	5582	30909
136	5620	30848
137	5658	30791
138	5695	30729
139	5734	30678
140	5771	30617
141	5809	30563
142	5850	30518
143	5888	30464
144	5927	30411
145	5968	30373
146	6009	30336
147	6048	30283
148	6088	30239
149	6138	30242
150	6178	30195
151	6225	30183
152	6266	30146
153	6309	30113
154	6349	30068
155	6387	30013
156	6424	29954
157	6465	29912
158	6504	29864
159	6544	29819
160	6583	29768
161	6622	29719
162	6661	29671
163	6701	29627
164	6749	29614
165	6790	29573
166	6829	29527
167	6867	29473
168	6907	29428
169	6950	29397
170	6993	29363
171	7034	29326
172	7077	29290
173	7112	29226
174	7150	29174
175	7188	29120
176	7229	29080
177	7269	29039
178	7307	28986
179	7345	28934
180	7383	28882
181	7421	28829
182	7460	28783
183	7499	28735
184	7538	28687
185	7577	28638
186	7619	28603
187	7658	28557
188	7699	28515
189	7738	28470
190	7794	28484
191	7841	28464
192	7888	28447
193	7932	28419
194	7970	28367
195	8008	28315
196	8046	28263
197	8086	28222
198	8133	28201
199	8170	28147
200	8209	28101
201	8247	28051
202	8292	28023
203	8333	27980
204	8372	27933
205	8409	27883
206	8448	27834
207	8491	27801
208	8529	27752
209	8569	27707
210	8614	27679
211	8659	27652
212	8704	27624
213	8754	27613
214	8794	27570
215	8832	27520
216	8870	27470
217	8908	27421
218	8948	27376
219	8987	27331
220	9025	27279
221	9064	27235
222	9103	27186
223	9143	27143
224	9180	27091
225	9226	27066
226	9265	27020
227	9303	26973
228	9344	26932
229	9382	26883
230	9420	26835
231	9459	26787
232	9503	26756
233	9549	26731
234	9592	26694
235	9636	26664
236	9677	26624
237	9716	26577
238	9756	26534
239	9796	26490
240	9834	26441
241	9873	26396
242	9911	26349
243	9950	26304
244	9992	26265
245	10032	26222
246	10070	26175
247	10109	26129
248	10149	26086
249	10187	26038
250	10229	26001
251	10267	25953
252	10305	25907
253	10344	25861
254	10384	25819
255	10428	25785
256	10483	25780
257	10525	25743
258	10570	25712
259	10608	25663
260	10647	25618
261	10686	25574
262	10726	25531
263	10764	25484
264	10801	25433
265	10840	25388
266	10877	25339
267	10916	25294
268	10953	25247
269	10992	25201
270	11032	25159
271	11073	25118
272	11112	25074
273	11152	25032
274	11194	24993
275	11235	24953
276	11273	24907
277	11310	24859
278	11350	24815
279	11396	24786
280	11443	24760
281	11489	24731
282	11532	24695
283	11573	24654
284	11612	24610
285	11652	24567
286	11708	24559
287	11755	24531
288	11797	24493
289	11854	24485
290	11893	24441
291	11934	24400
292	11978	24365
293	12025	24337
294	12072	24309
295	12112	24265
296	12150	24219
297	12189	24174
298	12229	24131
299	12267	24085
300	12323	24074
301	12368	24040
302	12423	24027
303	12464	23986
304	12501	23938
305	12539	23890
306	12577	23843
307	12619	23805
308	12668	23779
309	12713	23745
310	12770	23734
311	12812	23694
312	12851	23649
313	12890	23605
314	12928	23558
315	12965	23511
316	13006	23468
317	13051	23435
318	13093	23395
319	13136	23357
320	13178	23319
321	13219	23277
322	13257	23230
323	13295	23185
324	13335	23142
